customAuthorName,title_s,docType_s,primaryDomain_s,openAccess_bool,publicationDate_s,submittedDate_s,instStructName_s,structCountry_s
Ilham Alloui,"[""Systèmes logiciels de fusion d'informations adaptatifs""]",COMM,info.info-se,False,2010-03,2011-01-31 18:15:32,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['Supporting Distributed and Adaptive Workflow Process Systems'],ART,info.info-se,False,1997-08,2019-02-20 21:22:41,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,"['An Architecture-Centric Approach for Information System Architecture Modeling, Enactement and Evolution']",COUV,info.info-se,True,2012-05,2012-05-30 14:47:29,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,"['E-alliance, rapport de 3ème année programme thématique région rhône alpes']",REPORT,info.info-mo,False,2003-04,2012-11-29 14:36:47,"['UR LSTI', 'Centre G2I', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Dynamic architecture based evolution of enterprise information systems'],COMM,info.info-se,False,2007-06-12,2024-02-24 15:29:40,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['Towards A Process-Oriented Software Architecture Reconstruction Taxonomy'],COMM,info.info-se,False,2007-03-21,2024-02-24 15:17:10,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['Package Fingerprints: A visual summary of package interface usage'],ART,info.info-cl,True,2010-12,2010-10-29 19:10:17,"['Université de Lille, Sciences et Technologies', 'Institut National de Recherche en Informatique et en Automatique', 'Université de Lille, Sciences Humaines et Sociales', 'Institut National de Recherche en Informatique et en Automatique', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Towards a Semantic Model for Wise Systems - A Graph Matching Algorithm'],COMM,info,False,2022-11-12,2022-12-14 15:08:20,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['COOK: Réarchitecturisation des applications industrielles à objets'],REPORT,info.info-se,False,2009-07,2011-09-11 09:09:43,"['Université de Lille, Sciences et Technologies', 'Institut National de Recherche en Informatique et en Automatique', 'Université de Lille, Sciences Humaines et Sociales', 'Institut National de Recherche en Informatique et en Automatique', 'Faculty of Science', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'cl', 'cl', 'cl', 'fr', 'fr']"
Ilham Alloui,['Wise Objects for Calm Technology'],COMM,info.info-iu,True,2015-07-20,2016-04-27 13:56:32,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,"['Alliance: An Agent-Based CASE Environment for Enterprise Process Modelling, Enactment and Quantitative Control']",COUV,info.info-se,False,2000-03,2019-02-20 22:30:21,"['Université Savoie Mont Blanc', 'Université de Rennes', 'Institut National des Sciences Appliquées - Rennes', 'Université de Bretagne Sud', 'École normale supérieure - Rennes', 'Institut National de Recherche en Informatique et en Automatique', 'Télécom Bretagne', 'CentraleSupélec']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['A Wise Object Framework for Distributed Intelligent Adaptive Systems'],COMM,info.info-se,True,2017-07-24,2021-06-29 10:48:54,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Ilham Alloui,['E-Alliance: A Negotiation Infrastructure for Virtual Alliances'],ART,info.info-mo,False,2003-03,2012-11-28 17:22:35,"['UR LSTI', 'Centre G2I', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Package Reference Fingerprint: a Rich and Compact Visualization to Understand Package Relationships'],COMM,info.info-se,False,2008,2007-12-21 16:50:52,"['Université de Lille, Sciences et Technologies', 'Institut National de Recherche en Informatique et en Automatique', 'Université de Lille, Sciences Humaines et Sociales', 'Institut National de Recherche en Informatique et en Automatique', 'Université Savoie Mont Blanc', 'University of Lugano']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'ch', 'fr']"
Ilham Alloui,['A Graph Matching Algorithm to extend Wise Systems with Semantic'],COMM,info.info-se,True,2023-09-26,2024-01-31 14:42:45,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Ilham Alloui,['Ontology Alignment: First Step towards Voice Control for Smart-Home Assistive Scenarios'],COMM,info,False,2024-05-27,2024-09-16 10:54:37,"['Faculté des sciences [Sherbrooke]', 'Université Savoie Mont Blanc', 'Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['ca', 'ca', 'ca', 'ca', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Gestion des architectures évolutives dans ArchWare'],COMM,info.info-se,False,2006-09,2010-09-03 09:33:41,"['Université Savoie Mont Blanc', 'Université de Bretagne Sud']","['fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Learning suitable data representation for credit card fraud detection algorithms'],COMM,info.info-ai,True,2023-07-28,2024-04-26 13:48:23,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc', 'SaGa Corp, Paris, France']","['fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Process Modelling Languages'],COUV,info.info-cl,False,1999-01,2019-02-20 22:15:12,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['WOF: Towards Behavior Analysis and Representation of Emotions in Adaptive Systems'],ART,info.info-se,True,2018-06-08,2021-06-29 10:43:51,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Ilham Alloui,"['E-alliance, rapport de 2ème année programme thématique région rhône alpes']",REPORT,info.info-mo,False,2002-04,2012-11-29 14:48:32,"['UR LSTI', 'Centre G2I', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Towards Software Architecture Physiology: Identifying Vital Component'],COMM,info.info-se,False,2008-02-18,2024-02-24 15:05:12,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Khadija Bousselmi,['Predictive Systems for Snow Avalanche Forecasting'],COMM,info,False,2022-05-17,2024-12-13 12:00:21,['Université Savoie Mont Blanc'],['fr']
Khadija Bousselmi,['Deep Reinforcement Learning-based Load Balancer using Kubernetes'],COMM,info,False,2023-09-20,2024-12-13 11:58:14,['Université Savoie Mont Blanc'],['fr']
Khadija Bousselmi,['A Machine Learning Based Decision Support Framework For Big Data Pipeline Modeling And Design'],ART,info,True,2024,2024-12-13 11:50:02,['Université Savoie Mont Blanc'],['fr']
Khadija Bousselmi,['Big Data Tools: Interoperability Study and Performance Testing'],COMM,info,False,2023-12,2024-10-16 16:04:54,"[""École supérieure d'électronique de l'ouest [Angers]""]","['fr', 'fr', 'fr', 'fr']"
Khadija Bousselmi,['Data Warehousing Process Modeling from Classical Approaches to New Trends: Main Features and Comparisons'],ART,info,True,2022,2022-08-23 11:24:31,"['Université Savoie Mont Blanc', ""École supérieure d'électronique de l'ouest [Angers]""]","['tn', 'fr', 'fr', 'tn', 'fr', 'fr', 'fr', 'fr']"
Khadija Bousselmi,['A Multi-Layer Modeling for the Generation of New Architectures for Big Data Warehousing'],COMM,info,False,2022-04-13,2022-01-20 16:09:01,"['University of Tunis El Manar', 'Université Savoie Mont Blanc', ""École supérieure d'électronique de l'ouest [Angers]""]","['tn', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Khadija Bousselmi,['Combining MLP and Feature Engineering to Predict Avalanche Severity'],COMM,info,False,2023-07-03,2024-12-13 11:59:32,['Université Savoie Mont Blanc'],['fr']
Khadija Bousselmi,['Exploring the Role of Machine Learning in Diagnosing and Treating Speech Disorders: A Systematic Literature Review'],ART,info,True,2024-05,2024-12-13 11:47:25,['Université Savoie Mont Blanc'],['fr']
Abdourrahmane Atto,"[""Analyse en Ondelettes et par Paquets d'Ondelettes de Processus Aléatoires Stationnaires, et Application à l'Estimation Non-Paramétrique"", 'Wavelet Packet Analysis of Stationary Random Processes, and Applications to Non-Parametric Estimation']",THESE,math,True,2008-09-30,2009-05-16 11:37:04,"['Université européenne de Bretagne - European University of Brittany', 'Université de Bretagne Sud', 'Université de Brest', 'Télécom Bretagne', 'Université de Brest']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,"['Traitement automatique de ""time lapse"" : application à la surveillance de glaciers alpins', 'Automatic processing of time lapse : application to the monitoring of alpine glaciers.']",COMM,info.info-cv,True,2017-06-12,2018-09-03 15:00:40,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Abdourrahmane Atto,['Stochasticity: A Feature for the Structuring of Large and Heterogeneous Image Databases'],ART,math.math-it,True,2013-11-04,2013-11-04 16:03:16,"['Université Savoie Mont Blanc', 'Université Sciences et Technologies - Bordeaux 1', 'Institut Polytechnique de Bordeaux']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,"[""Matrice de Divergences Multi-Temporelles et Analyse des Séries Chronologiques d'Images SAR""]",COMM,math.math-it,False,2012-06-07,2012-11-14 19:41:54,"['Université Savoie Mont Blanc', 'Université Sciences et Technologies - Bordeaux 1', 'Institut Polytechnique de Bordeaux', 'Université européenne de Bretagne - European University of Brittany', 'Télécom Bretagne']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Inverse Formulation of Temporal Closure and Proposed Solutions for Offset Tracking of Natural Scenes'],COMM,info.info-ti,True,2017-06-27,2021-06-29 11:26:21,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,"['Transformation possibiliste de lois de probabilités elliptiques', 'Probability possibility transformation of multivariate elliptical distributions']",COMM,info.info-ts,False,2019-11-15,2021-06-29 10:35:39,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['SCHATTEN MATRIX NORM BASED POLARIMETRIC SAR DATA REGULARIZATION. APPLICATION OVER CHAMONIX MONT-BLANC'],COMM,info.info-ti,True,2013-02-22,2014-04-08 12:34:19,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['Best Basis for Joint Representation: the Median of Marginal Best Bases for Low Cost Information Exchanges in Distributed Signal Representation'],ART,math.math-it,True,2014-07-03,2014-07-06 10:46:32,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['Wavelet Operators and Multiplicative Observation Models -Application to SAR Image Time Series Analysis'],ART,info.info-ti,True,2016-07-25,2016-07-04 01:07:17,"['Université Savoie Mont Blanc', 'Télécom ParisTech']","['fr', 'fr', 'fr']"
Abdourrahmane Atto,['Adaptive Multitemporal SAR Image Filtering Based on the Change Detection Matrix'],ART,info.info-ti,True,2014-04-08,2014-11-11 13:01:15,"['Université Savoie Mont Blanc', 'Télécom ParisTech']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Control of Discrete Event Systems with Respect to Strict Duration: Supervision of an Industrial Manufacturing Plant'],ART,spi.auto,True,2011,2012-01-17 15:38:30,"['Université Savoie Mont Blanc', 'Mines Nantes', 'École Centrale de Nantes', 'Université de Nantes', 'École normale supérieure - Cachan', 'Université Paris-Sud - Paris 11']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Supervision of an industrial plant subject to a maximal duration constraint'],COMM,spi.auto,True,2008,2009-02-19 16:02:05,"['Ecole Nationale Supérieure des Télécommunications', 'Mines Nantes', 'École Centrale de Nantes', 'Université de Nantes', 'École normale supérieure - Cachan', 'Université Paris-Sud - Paris 11']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Detection threshold for non-parametric estimation'],ART,math.math-it,True,2008-02-05,2012-09-14 17:05:28,"['Université européenne de Bretagne - European University of Brittany', ""École Nationale d'Ingénieurs de Brest"", 'Université de Bretagne Sud', 'Université de Brest', 'Télécom Bretagne', 'Université de Brest', 'École Nationale Supérieure de Techniques Avancées Bretagne', 'Université européenne de Bretagne - European University of Brittany', 'Télécom Bretagne', 'Université européenne de Bretagne - European University of Brittany', 'Télécom Bretagne']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['RENYI DIVERGENCES LEARNING FOR EXPLAINABLE CLASSIFICATION OF SAR IMAGE PAIRS'],COMM,spi.signal,True,2024-04-14,2024-06-30 12:42:05,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['Wavelet Packets of Nonstationary Random Processes: Contributing Factors for Stationarity and Decorrelation'],ART,math.math-it,True,2012,2011-09-01 21:03:16,"['Université Savoie Mont Blanc', 'Université Sciences et Technologies - Bordeaux 1', 'Institut Polytechnique de Bordeaux']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Timed-image based deep learning for action recognition in video sequences'],ART,info.info-ti,True,2020,2020-05-02 19:01:41,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['Design of New Wavelet Packets Adapted to High-Resolution SAR Images With an Application to Target Detection'],ART,spi.signal,True,2019-06-01,2019-07-01 15:48:22,"['ONERA', 'CentraleSupélec', 'Université Paris Saclay (COmUE)', 'ONERA', 'Université Paris Saclay (COmUE)', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['High order structural image decomposition by using non-linear and non-convex regularizing objectives'],ART,math.math-fa,True,2015,2015-06-02 18:08:46,"['Université Savoie Mont Blanc', 'Université européenne de Bretagne - European University of Brittany', 'Télécom Bretagne', 'Université européenne de Bretagne - European University of Brittany', ""École Nationale d'Ingénieurs de Brest"", 'Université de Bretagne Sud', 'Université de Brest', 'Télécom Bretagne', 'Université de Brest', 'École Nationale Supérieure de Techniques Avancées Bretagne']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Multivariate Linear Time-Frequency modeling and adaptive robust target detection in highly textured monovariate SAR image'],COMM,spi.signal,True,2017,2017-10-16 09:34:47,"['ONERA', 'CentraleSupélec', 'Université Paris Saclay (COmUE)', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['ADAPTIVE MULTITEMPORAL FILTERING OF POLARIMETRIC SAR IMAGES'],COMM,info.info-ti,True,2014-07-18,2014-12-16 13:02:35,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['Ondelettes et Processus Stochastiques'],OUV,math.math-pr,False,2017-05-09,2017-03-26 21:35:51,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['On the Statistical Decorrelation of the Wavelet Packet Coefficients of a Band-Limited Wide-Sense Stationary Random Process'],ART,math.math-it,True,2007-04-05,2012-09-14 17:21:00,"['Université européenne de Bretagne - European University of Brittany', ""École Nationale d'Ingénieurs de Brest"", 'Université de Bretagne Sud', 'Université de Brest', 'Télécom Bretagne', 'Université de Brest', 'École Nationale Supérieure de Techniques Avancées Bretagne', 'Université européenne de Bretagne - European University of Brittany', 'Télécom Bretagne']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['DEM-assisted neural network for SAR-to-optical image translation'],COMM,info.info-ai,True,2024,2024-10-03 15:25:18,"['Université Savoie Mont Blanc', 'Institut National de Recherche en Informatique et en Automatique', 'Institut National de Recherche en Informatique et en Automatique', 'Institut polytechnique de Grenoble - Grenoble Institute of Technology']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Time-lapse optical flow regularization for geophysical complex phenomena monitoring'],ART,info.info-ts,True,2019-04,2021-10-22 11:05:57,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Abdourrahmane Atto,['Change analysis using multitemporal Sentinel-1 SAR images'],COMM,info.info-ti,False,2015-07-26,2015-05-20 11:28:05,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['Uniformly most powerful detection for integrate and fire time encoding'],COMM,math.math-it,False,2014-09,2015-01-03 22:31:58,"['Université Nice Sophia Antipolis (1965 - 2019)', 'Université de Technologie de Troyes', 'Université Nice Sophia Antipolis (1965 - 2019)', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Apprentissage explicable d’un ensemble de divergences pour la similarité inter-classe de données SAR'],COMM,spi.signal,True,2023-08-28,2023-08-21 17:50:38,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc', ""Institut national des sciences de l'Univers"", 'Institut de Recherche pour le Développement', 'Université Toulouse III - Paul Sabatier', ""Institut national des sciences de l'Univers"", ""Centre National d'Études Spatiales [Toulouse]"", 'Météo-France', 'Météo-France', ""Institut national des sciences de l'Univers"", 'Institut de Recherche pour le Développement', 'Université Toulouse III - Paul Sabatier', ""Institut national des sciences de l'Univers"", ""Centre National d'Études Spatiales [Toulouse]"", 'Météo-France', 'Météo-France', ""Observatoire des Sciences de l'Univers de Grenoble""]","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Contribution of Artificial Intelligence models for the management of rockfall risks'],COMM,sdu.stu,True,2021-11-17,2022-08-11 09:57:15,"[""Centre d'Etudes et d'Expertise sur les Risques, l'Environnement, la Mobilité et l'Aménagement"", 'Bureau de Recherches Géologiques et Minières', 'Groupe Géolithe', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Utilisation des séries temporelles d’images Sentinel-1 pour l’observation des glaciers des Alpes'],POSTER,sde,False,2018-03-20,2018-03-23 15:13:39,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,['ISSLIDE: A new InSAR dataset for Slow SLIding area DEtection with machine learning'],ART,sde,True,2024,2024-02-28 15:43:30,"['Université Savoie Mont Blanc', 'Institut polytechnique de Grenoble - Grenoble Institute of Technology']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Multivariate statistical modeling for multi-temporal SAR change detection using wavelet transforms'],COMM,spi.signal,True,2015-07-22,2015-11-17 16:37:10,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Abdourrahmane Atto,"['On Elliptical Possibility Distributions', 'Distributions de Possibilité Elliptiques']",ART,math,True,2020-08-01,2019-06-06 12:20:23,"['Université Savoie Mont Blanc', 'Université européenne de Bretagne - European University of Brittany', ""École Nationale d'Ingénieurs de Brest"", 'Université de Bretagne Sud', 'Université de Brest', 'Télécom Bretagne', 'Université de Brest', 'École Nationale Supérieure de Techniques Avancées Bretagne']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['New Robust Statistics for Change Detection in Time Series of Multivariate SAR Images'],ART,spi.signal,True,2019-01-15,2020-02-26 14:59:51,"['ONERA', 'CentraleSupélec', 'Université Paris Saclay (COmUE)', 'Université Savoie Mont Blanc', 'ONERA', 'Université Paris Saclay (COmUE)']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Abdourrahmane Atto,['Non-stationary texture synthesis from random field modeling'],COMM,info.info-ts,False,2014-10-30,2014-06-12 13:37:38,"['Université Savoie Mont Blanc', ""Institut d'Optique Graduate School"", 'Université Jean Monnet - Saint-Étienne', 'IFP Energies nouvelles']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
