researcher,title,authors,value of cited by,year
Kavé Salamatian,Analysis and comparison of interaction patterns in online social network and social media,"J Lin, Z Li, D Wang, K Salamatian, G Xie",16.0,2012.0
Kavé Salamatian,An Information Theory for Erasure Channels,"R Khalili, K Salamatian",16.0,2005.0
Kavé Salamatian,A framework for interpreting measurement over Internet,"K Salamatian, S Fdida",16.0,2003.0
Kavé Salamatian,Fast online packet classification with convolutional neural network,"X Zhang, G Xie, X Wang, P Zhang, Y Li, K Salamatian",15.0,2021.0
Kavé Salamatian,Signal processing-based anomaly detection techniques: a comparative analysis,"J Ndong, K Salamatian",15.0,2011.0
Kavé Salamatian,Measuring P2P IPTV traffic on both sides of the world,"T Silverston, O Fourmaux, K Salamatian, K Cho",15.0,2007.0
Kavé Salamatian,on the achievability of cut-set bound for a class of erasure relay channels: The non-degraded case,"R Khalili, K Salamatian",15.0,2004.0
Kavé Salamatian,Enabling automatic composition and verification of service function chain,"Y Wang, Z Li, G Xie, K Salamatian",14.0,2017.0
Kavé Salamatian,Scan Surveillance in Internet Networks,"F Kamoun, K Ramah Houerbi, K Salamatian",14.0,2011.0
Kavé Salamatian,Fast flow classification over internet,"A Oveissian, K Salamatian, A Soule, N Taft",14.0,2004.0
Kavé Salamatian,Transmission Multimédia Fiable Sur Internet,K Salamatian,14.0,1999.0
Kavé Salamatian,Towards practical use of Bloom Filter based IP lookup in operational network,"T Yang, G Xie, X Sun, R Duan, K Salamatian",13.0,2014.0
Kavé Salamatian,Toward a polymorphic future internet: a networking science approach,K Salamatian,13.0,2010.0
Kavé Salamatian,Mnemonic lossy counting: An efficient and accurate heavy-hitters identification algorithm,"Q Rong, G Zhang, G Xie, K Salamatian",13.0,2010.0
Kavé Salamatian,Peut-on penser une cybergéographie?,"J Robine, K Salamatian",12.0,2014.0
Kavé Salamatian,Load balancing by ruleset partition for parallel IDS on multi-core processors,"H Jiang, G Xie, K Salamatian",12.0,2013.0
Kavé Salamatian,Long range mutual information,"N Fonseca, M Crovella, K Salamatian",12.0,2008.0
Kavé Salamatian,Blind application recognition through behavioral classification,"L Bernaille, A Soule, MI Jeannin, K Salamatian",11.0,2005.0
Kavé Salamatian,Cross traffic estimation by loss process analysis,"K Salamatian, B Baynat, T Bugnazet",11.0,2003.0
Kavé Salamatian,BERT4CTR: An Efficient Framework to Combine Pre-trained Language Model with Non-textual Features for CTR Prediction,"D Wang, K Salamatian, Y Xia, W Deng, Q Zhang",10.0,2023.0
Kavé Salamatian,A comparative analysis of bloom filter-based routing protocols for information-centric networks,"A Marandi, T Braun, K Salamatian, N Thomos",10.0,2018.0
Kavé Salamatian,Index–Trie: Efficient archival and retrieval of network traffic,"G Xie, J Su, X Wang, T He, G Zhang, S Uhlig, K Salamatian",10.0,2017.0
Kavé Salamatian,A framework for network coding in challenged wireless network,"A El Fawal, K Salamatian, D Cavin, Y Sasson, JY Le Boudec",10.0,2006.0
Kavé Salamatian,TCP-compatible rate control for FGS layered multicast video transmission based on a clustering algorithm,"J Vieron, T Turletti, X Henocq, C Guillemot, K Salamatian",10.0,2002.0
Kavé Salamatian,"Misconfiguration checking for SDN: data structure, theory and algorithms","H Pan, Z Li, P Zhang, K Salamatian, G Xie",9.0,2020.0
Kavé Salamatian,Trump contre Huawei: enjeux géopolitiques de la 5G,K Salamatian,9.0,2020.0
Kavé Salamatian,A cartography of web tracking using dns records,"J Su, Z Li, S Grumbach, M Ikram, K Salamatian, G Xie",9.0,2019.0
Kavé Salamatian,THash: A practical network optimization scheme for DHT-based P2P applications,"Y Sun, YR Yang, X Zhang, Y Guo, J Li, K Salamatian",9.0,2013.0
Kavé Salamatian,A robust anomaly detection technique using combined statistical methods,"J Ndong, K Salamatian",9.0,2011.0
Kavé Salamatian,Trellis-based virtual regular addressing structures in self-organized networks,"J Ridoux, A Fladenmuller, Y Viniotis, K Salamatian",9.0,2005.0
Kavé Salamatian,On the convergence of statistical techniques for inferring network traffic demands,"A Medina, K Salamatian, N Taft, I Matta, Y Tsang, C Diot",9.0,2003.0
Kavé Salamatian,Learning Supplementary NLP Features for CTR Prediction in Sponsored Search,"D Wang, S Yan, Y Xia, K Salamatian, W Deng, Q Zhang",8.0,2022.0
Kavé Salamatian,A comprehensive investigation of user privacy leakage to android applications,"Y Ge, B Deng, Y Sun, L Tang, D Sheng, Y Zhao, G Xie, K Salamatian",8.0,2016.0
Kavé Salamatian,The pattern of information diffusion in microblog,"D Wang, Z Li, K Salamatian, G Xie",8.0,2011.0
Kavé Salamatian,Understanding the characteristics of online commenting,"JG Lee, K Salamatian",8.0,2008.0
Kavé Salamatian,Characterization of P2P IPTV traffic: scaling analysis,"T Silverston, O Fourmaux, K Salamatian",8.0,2007.0
Kavé Salamatian,A new relaying scheme for cheap wireless relay nodes,"R Khalili, K Salamatian",8.0,2005.0
Kavé Salamatian,Interpretation of losses observed on the Internet by inferring traffic characteristics,"K Salamatian, B Baynat, T Bugnazet",8.0,2002.0
Kavé Salamatian,On the achievability of cut-set bound for a class of erasure relay channels,"R Khalili, K Salamatian",7.0,2004.0
Kavé Salamatian,Digital routes and borders in the Middle East: the geopolitical underpinnings of Internet connectivity,"F Douzet, L Pétiniaud, K Salamatian, JL Samaan",6.0,2023.0
Kavé Salamatian,On detecting hidden third-party web trackers with a wide dependency chain graph: A representation learning approach,"AH Kargaran, MS Akhondzadeh, MR Heidarpour, MH Manshaei, ...",6.0,2020.0
Kavé Salamatian,Envisioning cyber-geography,"J Robine, K Salamatian",6.0,2014.0
Kavé Salamatian,Measuring P2P-TV systems on both sides of the world,"T Silverston, O Fourmaux, K Salamatian, K Cho",6.0,2010.0
Kavé Salamatian,Distribution of traffic among applications as measured in the French METROPOLIS project,"P Owezarski, N Larrieu, L Bernaille, W Saddi, F Guillemin, A Soule, ...",6.0,2007.0
Kavé Salamatian,A tighter Cut-Set bound for the multi-terminal erasure channel without side information,"R Khalili, K Salamatian",6.0,2006.0
Kavé Salamatian,Improving open virtual switch performance through tuple merge relaxation in software defined networks,"X Zhang, K Salamatian, G Xie",5.0,2022.0
Kavé Salamatian,Network coding-based content retrieval based on bloom filter-based content discovery for ICN,"A Marandi, T Braun, K Salamatian, N Thomos",5.0,2020.0
Kavé Salamatian,Web tracking cartography with dns records,"J Su, Z Li, S Grumbach, M Ikram, K Salamatian, G Xie",5.0,2018.0
Kavé Salamatian,Adwords management for third-parties in SEM: An optimisation model and the potential of Twitter,"D Wang, Z Li, G Xie, MA Kaafar, K Salamatian",5.0,2016.0
Kavé Salamatian,Protein subunit association: NOT a social network,"M Achoch, G Feverati, L Vuillon, K Salamatian, C Lesieur",5.0,2013.0
Kavé Salamatian,Toward predictable performance in decision tree based packet classification algorithms,"P He, H Guan, L Mathy, K Salamatian, G Xie",5.0,2013.0
Kavé Salamatian,Evaluating and optimizing ip lookup on many core processors,"P He, H Guan, G Xie, K Salamatian",5.0,2012.0
Kavé Salamatian,Machine learning for text anomaly detection: A systematic review,"K Boutalbi, F Loukil, H Verjus, D Telisson, K Salamatian",4.0,2023.0
Kavé Salamatian,Baking the ruleset: A heat propagation relaxation to packet classification,"X Zhang, K Salamatian, G Xie",4.0,2020.0
Kavé Salamatian,A geometric approach for real-time monitoring of dynamic large scale graphs: AS-level graphs illustrated,"L Salamatian, D Kaafar, K Salamatian",4.0,2018.0
Kavé Salamatian,Les nouveaux territoires stratégiques du cyberespace: le cas de la Russie,"F Douzet, K Limonier, J Robine, K Salamatian, R Géraud, R Campigotto",4.0,2017.0
Kavé Salamatian,Internet science: A manifesto,K Salamatian,4.0,2013.0
Kavé Salamatian,On the achievability of cut-set bound for a class of relay channels,"R Khalili, K Salamatian",4.0,2004.0
Kavé Salamatian,On the distribution of errors in convolutional codes,"R Khalili, K Salamatian",4.0,2003.0
Kavé Salamatian,Misconfiguration-free compositional SDN for cloud networks,"H Pan, Z Li, P Zhang, P Cui, K Salamatian, G Xie",3.0,2022.0
Kavé Salamatian,Wide-adgraph: Detecting ad trackers with a wide dependency chain graph,"AH Kargaran, MS Akhondzadeh, MR Heidarpour, MH Manshaei, ...",3.0,2021.0
Kavé Salamatian,Toward accurate inference of web activities from passive dns data,"J Su, Z Li, S Grumbach, K Salamatian, C Han, G Xie",3.0,2018.0
Kavé Salamatian,Exploiting interest locality for peer-assisted search in ugc video systems,"Z Li, G Xie, K Salamatian",3.0,2012.0
Kavé Salamatian,Optimization of bloom filter parameters for practical bloom filter based epidemic forwarding in DTNs,"A Marandi, MF Imani, K Salamatian",3.0,2012.0
Kavé Salamatian,Certified Internet Coordinates,"MA Kaafar, L Mathy, C Barakat, K Salamatian, T Turletti, W Dabbous",3.0,2009.0
Kavé Salamatian,A twostep statistical approach for inferring network,"A Medina, K Salamatian, N Taft, I Matta, C Diot",3.0,2004.0
Kavé Salamatian,Classification of receivers in large multicast groups using distributed clustering,"K Salamatian, T Turletti",3.0,2001.0
Kavé Salamatian,Codage conjoint source canal appliqué à la transmission multimédia TCP-courtoise,K Salamatian,3.0,1999.0
Kavé Salamatian,A push-based content advertisement approach for information-centric networks,"SA Marandi, T Braun, K Salamatian, N Thomos",2.0,2016.0
Kavé Salamatian,Internet et la réinvention de la géographie,K Salamatian,2.0,2013.0
Kavé Salamatian,Characterization of TVAnts: Scaling Analysis of a P2P IPTV Traffic,"T Silverston, O Fourmaux, K Salamatian",2.0,2007.0
Kavé Salamatian,Quelques éléments caractéristiques du trafic internet,"P Olivier, P Owezarski, K Salamatian",2.0,2003.0
Kavé Salamatian,"Classification of heterogeneous receivers for video diffusion over the internet,""","K Salamatian, T Turletti",2.0,2000.0
Kavé Salamatian,Architecture d'une couche de compensation de pertes fond e sur les fecs,MR Salamatian,2.0,1998.0
Kavé Salamatian,Codage à protections inégales et diffusion,"S Boucheron, K Salamatian",2.0,1997.0
Kavé Salamatian,Hierarchical Tensor Clustering for Multiple Graphs Representation,"K Boutalbi, R Boutalbi, H Verjus, K Salamatian",1.0,2024.0
Kavé Salamatian,A Clustering Approach Combining Lines and Text Detection for Table Extraction,"K Boutalbi, V Sylejmani, P Dardouillet, O Le Van, K Salamatian, H Verjus, ...",1.0,2023.0
Kavé Salamatian,Exploiting the Community Structure of Fraudulent Keywords for Fraud Detection in Web Search,"DH Yang, ZY Li, XH Wang, K Salamatian, GG Xie",1.0,2021.0
Kavé Salamatian,Tracking the Propagation of Russian Content on the Web in the 2020 Primaries,"F Douzet, K Limonier, B Cain, K Salamatian",1.0,2020.0
Kavé Salamatian,Comment isoler son Internet?,K Salamatian,1.0,2020.0
Kavé Salamatian,Trump against Huawei. Geopolitical stakes of 5G.,K Salamatian,1.0,2020.0
Kavé Salamatian,Best basis for joint representation: The median of marginal best bases for low cost information exchanges in distributed signal representation,"AM Atto, K Salamatian, P Bolon",1.0,2014.0
Kavé Salamatian,"Future Internet Theory, Design and Deployment: From Software-Defined Network to Clean Slate Post-IP","GKS XIE, H XIE, Y SUN",1.0,2014.0
Kavé Salamatian,A fresh look at Forwarding Information Base compression via mathematical analysis,"T Yang, G Xie, K Salamatian",1.0,2014.0
Kavé Salamatian,Peut-on penser une cybergéographie?,"K Salamatian, R Jéremy",1.0,2014.0
Kavé Salamatian,Efficient fingerprint extraction for high performance Intrusion Detection System,"H Jiang, G Xie, K Salamatian",1.0,2013.0
Kavé Salamatian,Scaling traffic classification through spatio-temporal sampling,"D Schatzmann, W Mühlbauer, T Spyropoulos, K Salamatian",1.0,2013.0
Kavé Salamatian,Efficient traffic flow measurement for ISP networks,"Q Wu, Z Li, J Yang, G Xie, K Salamatian",1.0,2012.0
Kavé Salamatian,Network optimization for DHT-based applications,"Y Sun, YR Yang, X Zhang, Y Guo, J Li, K Salamatian",1.0,2012.0
Kavé Salamatian,Tracking Relative Errors in Internet Coordinate Systems by a Kalman Filter,"MA Kaafar, C Barakat, K Salamatian, L Mathy, T Turletti, W Dabbous",1.0,2010.0
Kavé Salamatian,Mesures d'applications P2P-TV de part et d'autre du monde,"T Silverston, O Fourmaux, K Salamatian, K Cho",1.0,2009.0
Kavé Salamatian,Caractérisation du trafic P2P IPTV: une analyse d'échelle,"T Silverston, O Fourmaux, K Salamatian",1.0,2008.0
Kavé Salamatian,A Routingless approach for Communication in Wireless Networks,"R Khalili, K Salamatian",1.0,2005.0
Kavé Salamatian,"Classification de flots par histogrammes, Ou le petit guide zoologique de l'Internet","A Soule, K Salamatian, R Emilion, N Taft, R Souidi",1.0,2003.0
Kavé Salamatian,Codage a Protections Inegales Et Canaux Dependants [inequal Error Protection Coding and Lossy Channels],"S Boucheron, M Salamatian",1.0,1997.0
Kavé Salamatian,From Social Trends to Profit: An Optimisation Model for Search Engine AdWords Management,"D Wang, Z Li, M Kaafar, K Salmatian, G Xie",1.0,
Kavé Salamatian,LLM-centric pipeline for information extraction from invoices,"F Loukil, S Cadereau, H Verjus, M Galfré, K Salamatian, D Telisson, ...",,2024.0
Kavé Salamatian,IEcons: A New Consensus Approach Using Multi-Text Representations for Clustering Task,"K Boutalbi, R Boutalbi, H Verjus, K Salamatian, D Telisson, O Le Van",,2024.0
Kavé Salamatian,Ironing the Graphs: Toward a Correct Geometric Analysis of Large-Scale Graphs,"S Naama, K Salamatian, F Bronzino",,2024.0
Kavé Salamatian,Strategic Integration of Context for Fine-Tuning Topic Model Performance,"P Dardouillet, K Salamatian, H Verjus, F Loukil, D Telisson",,2024.0
Kavé Salamatian,Strategic and geopolitical implication of Networks,"K Limonier, P Barford, K Salamatian",,2022.0
Kavé Salamatian,Cross-Talk Between Intramolecular and Intermolecular Amino Acid Networks Orchestrates the Assembly of the Cholera Toxin B Pentamer via the Residue His94,"M Achoch, G Feverati, K Salamatian, L Vuillon, C Lesieur",,2022.0
Kavé Salamatian,基于网络搜索欺诈关键词社区结构的网络搜索欺诈检测,"DH Yang, ZY Li, XH Wang, K Salamatian, GG Xie",,2021.0
Kavé Salamatian,"The Geopolitics Behind the Routes Data Travels: a Case Study of Iran, Master Class","F Douzet, K Limonier, L Salamatian, K Salamatian",,2020.0
Kavé Salamatian,Trump vs. Huawei: apuestas geopolíticas del 5G,K Salamatian,,2020.0
Kavé Salamatian,A Massively Multi-Tenant Virtualized Network Intrusion Prevention Service on NFV Platform,"H Jiang, Y Yang, H Guan, G Xie, K Salamatian",,2019.0
Kavé Salamatian,Impact of digital social networks on health and health systems,"F Griffiths, D Tim, M Thorogood, J Samantha, K Salamatian, G Xavier, ...",,2015.0
Kavé Salamatian,Network of Excellence in Internet Science,"M Marzouki, L Bygrave, F Morando, A Powell, Ž Turk, K Salamatian, ...",,2015.0
Kavé Salamatian,EINS D1. 2 Roadmap for an economic theory for information networks,"J Cave, K Salamatian, P Antoniadis, P Dini, F Griffiths, D Hutchinson, ...",,2015.0
Kavé Salamatian,D10. 3: Description of Internet Science Curriculum,"S Cimpan, K Salamatian, T Plagemann, M Marzouki, Ž Turk, J Cave, ...",,2014.0
Kavé Salamatian,"Future internet theory, design and deployment: From software-defined network to clean slate post-IP","X Gaogang, K Salamatian, X Mingwei, X Haiyong, S Yi",,2014.0
Kavé Salamatian,CODES AL-FEC ET PROTOCOLES DE DIFFUSION ROBUSTE DE CONTENUS,"E Biersack, PR Eurecom, B Cousin, PR Rennes, W Dabbous, J Lacan, ...",,2014.0
Kavé Salamatian,Internet Science Curriculum construction in EINS,"S Cimpan, K Salamatian",,2014.0
Kavé Salamatian,La sécurité: le talon d'Achille d'Interne,K Salamatian,,2011.0
Kavé Salamatian,Clustering en haute dimension par accumulation de clusterings locaux,"MI Akodjenou, K Salamatian, P Gallinari",,2008.0
Kavé Salamatian,Répartition du trafic parapplication mesuré dans le projet metropolis,"P Owezarski, N Larrieu, L Bernaille, W Saddi, F Guillemin, A Soule, ...",,2007.0
Kavé Salamatian,QoS Routing Open Agenda,"X Masip-Bruin, M Yannuzzi, J Domingo-Pascual, A Fonte, M Curado, ...",,2006.0
Kavé Salamatian,Estimation de la Matrice de Trafic en temps reel par filtres de Kalman,"A Soule, K Salamatian",,2005.0
Kavé Salamatian,Pas si simple-COMMENT CA MARCHE-L'ADSL: l'Internet a haut debit sur la ligne telephonique,"R Scavenius, K Salamatian",,2002.0
Kavé Salamatian,"LIP6-CNRS Université Pierre et Marie Curie (UPMC) Paris, France","K Salamatian, S Fdida",,2001.0
Kavé Salamatian,Receiver classification for layered video transmission to large multicast groups,"T Turletti, K Salamatian",,2000.0
Kavé Salamatian,"Exposants d'erreurs pour (quelques) canaux Markoviens, applications à Internet","S BOUCHERON, C GUENZEL, K SALAMATIAN",,1999.0
Kavé Salamatian,Policy & Internet,"J Cowls, R Schroeder, JAK Cave, M Thorogood, S Johnson, K Salamatian, ...",,
Kavé Salamatian,Large-scale measurement experiments of P2P-TV systems insights on fairness and locality,"K Salamatian, K Cho",,
Kavé Salamatian,RECTORAT-ExtRaction automatique dE ConfiguraTiOn Réseau sAtisfaisant les contrainTes client (Automatic extraction of network configurations satisfying client constraints).,"S Monnet, F Bronzino, K Salamatian",,
Kavé Salamatian,Grid-Based Clustering,"MI Akodjènou-Jeannin, K Salamatian, P Gallinari",,
Kavé Salamatian,Andrea Goldsmith (Co-Chair) Muriel Medard (Co-Chair) Amin Shokrollahi (Co-Chair),"R Zamir, E Altman, V Anantharam, A Ashikhmin, J Barros, S Benedetto, ...",,
Kavé Salamatian,Congestion Control in Epidemic Forwarding based Delay Tolerant Networks,"MF Imani, A Marandi, K Salamatian",,
Kavé Salamatian,Distribution of traffic among applications as measured in the French METROPOLIS project Répartition du trafic par application mesuré dans le projet METROPOLIS,"P Owezarski, N Larrieu, L Bernaille, W Saddi, F Guillemin, A Soule, ...",,
Kavé Salamatian,Rapport Final de l’AS 88 Métrologie des réseaux de l’Internet,"P Owezarski, P Abry, K Salamatian, D Kofman, A Aussem, F Guillemin, ...",,
Kavé Salamatian,Project IST 027918,"A Chaintreau, M Conti, J Crowcroft, C Diot, A El Fawal, S Giordano, P Hui, ...",,
Kavé Salamatian,Multi-Hop Broadcast from Theory to Reality: Practical Design for Ad Hoc Networks,"ELF Alaeddine, JY Le Boudec, K Salamatian",,
Kavé Salamatian,on Crowdsourcing for Politics and Policy. 25-26th September 2014 Oxford,"F Griffiths, T Doberman, M Thorogood, J Goudge, S Johnson, ...",,
Kavé Salamatian,NetSciCom 2014: Sixth IEEE International Workshop on Network Science for Communication Networks (NetSciCom 2014)-Committees,"J Altmann, K Avrachenkov, M Boguna, R Clegg, AF Anta, EFENS Lyon, ...",,
Kavé Salamatian,Classification de flots par histogrammes,"A Soule, K Salamatian, R Emilion, N Taft, R Souidi",,
Kavé Salamatian,Loss patterns and loss-resilient codes on the Internet,"S Boucheron, C Guenzel, K Salamatian",,
